Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
Butler Bank,Lowell,MA,26619,People's United Bank,16-Apr-10,10211,4/16/2010,2010,26619,SI,"LOWELL, MA",18261,4/16/2010,10211,3779,BUTLER BANK,245534,FAILURE,PA,DIF
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,10216,4/16/2010,2010,24067,N,"FORT PIERCE, FL",0,4/16/2010,10216,3778,RIVERSIDE NATIONAL BANK OF FLORIDA,3393818,FAILURE,PA,DIF
AmericanFirst Bank,Clermont,FL,57724,"TD Bank, N.A.",16-Apr-10,10210,4/16/2010,2010,57724,NM,"CLERMONT, FL",16404,4/16/2010,10210,3783,AMERICANFIRST BANK,104034,FAILURE,PA,DIF
First Federal Bank of North Florida,Palatka,FL,28886,"TD Bank, N.A.",16-Apr-10,10213,4/16/2010,2010,28886,SB,"PALATKA, FL",11969,4/16/2010,10213,3780,FIRST FEDERAL BANK OF NORTH FLORIDA,440122,FAILURE,PA,DIF
Lakeside Community Bank,Sterling Heights,MI,34878,No Acquirer,16-Apr-10,10215,4/16/2010,2010,34878,NM,"STERLING HEIGHTS, MI",20977,4/16/2010,10215,3782,LAKESIDE COMMUNITY BANK,49173,FAILURE,PO,DIF
Beach First National Bank,Myrtle Beach,SC,34242,Bank of North Carolina,9-Apr-10,10209,4/9/2010,2010,34242,N,"MYRTLE BEACH, SC",164585,4/9/2010,10209,3775,BEACH FIRST NATIONAL BANK,590024,FAILURE,PA,DIF
Desert Hills Bank,Phoenix,AZ,57060,New York Community Bank,26-Mar-10,10205,3/26/2010,2010,57060,NM,"PHOENIX, AZ",108862,3/26/2010,10205,3773,DESERT HILLS BANK,496552,FAILURE,PA,DIF
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,10208,3/26/2010,2010,34678,N,"CARTERSVILLE, GA",73589,3/26/2010,10208,3771,UNITY NATIONAL BANK,300590,FAILURE,PA,DIF
Key West Bank,Key West,FL,34684,Centennial Bank,26-Mar-10,10206,3/26/2010,2010,34684,SB,"KEY WEST, FL",16210,3/26/2010,10206,3772,KEY WEST BANK,88031,FAILURE,PA,DIF
McIntosh Commercial Bank,Carrollton,GA,57399,CharterBank,26-Mar-10,10207,3/26/2010,2010,57399,NM,"CARROLLTON, GA",164026,3/26/2010,10207,3774,MCINTOSH COMMERCIAL BANK,363405,FAILURE,PA,DIF
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,10203,3/19/2010,2010,8221,NM,"AURORA, MN",7026,3/19/2010,10203,3764,STATE BANK OF AURORA,28159,FAILURE,PA,DIF
First Lowndes Bank,Fort Deposit,AL,24957,First Citizens Bank,19-Mar-10,10204,3/19/2010,2010,24957,NM,"FORT DEPOSIT, AL",11725,3/19/2010,10204,3767,FIRST LOWNDES BANK,137175,FAILURE,PA,DIF
Bank of Hiawassee,Hiawassee,GA,10054,Citizens South Bank,19-Mar-10,10202,3/19/2010,2010,10054,NM,"HIAWASSEE, GA",107263,3/19/2010,10202,3765,BANK OF HIAWASSEE,377779,FAILURE,PA,DIF
Appalachian Community Bank,Ellijay,GA,33989,Community & Southern Bank,19-Mar-10,10199,3/19/2010,2010,33989,NM,"ELLIJAY, GA",456455,3/19/2010,10199,3769,APPALACHIAN COMMUNITY BANK,1010075,FAILURE,PA,DIF
Advanta Bank Corp.,Draper,UT,33535,No Acquirer,19-Mar-10,10200,3/19/2010,2010,33535,NM,"DRAPER, UT",521525,3/19/2010,10200,3768,ADVANTA BANK CORP.,1525931,FAILURE,PO,DIF
Century Security Bank,Duluth,GA,58104,Bank of Upson,19-Mar-10,10198,3/19/2010,2010,58104,NM,"DULUTH, GA",37707,3/19/2010,10198,3770,CENTURY SECURITY BANK,96535,FAILURE,PA,DIF
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,10201,3/19/2010,2010,18806,N,"PARMA, OH",14960,3/19/2010,10201,3766,AMERICAN NATIONAL BANK,70318,FAILURE,PA,DIF
American National Bank,Parma,OH,18806,The National Bank and Trust Company,19-Mar-10,10201,3/19/2010,2010,18806,N,"PARMA, OH",0,2/12/1988,1948,1626,AMERICAN NATIONAL BANK,27774,ASSISTANCE,A/A,FDIC
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,10196,3/12/2010,2010,29561,NM,"COVINGTON, LA",26124,3/12/2010,10196,3762,STATEWIDE BANK,243215,FAILURE,PA,DIF
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,10197,3/12/2010,2010,58182,SM,"ORLANDO, FL",76501,3/12/2010,10197,3763,OLD SOUTHERN BANK,336390,FAILURE,PA,DIF
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,10195,3/12/2010,2010,27096,NM,"NEW YORK, NY",76368,3/12/2010,10195,3761,THE PARK AVENUE BANK,520146,FAILURE,PA,DIF
LibertyPointe Bank,New York,NY,58071,Valley National Bank,11-Mar-10,10194,3/11/2010,2010,58071,NM,"NEW YORK, NY",18407,3/11/2010,10194,3760,LIBERTYPOINTE BANK,216500,FAILURE,PA,DIF
Centennial Bank,Ogden,UT,34430,No Acquirer,5-Mar-10,10193,3/5/2010,2010,34430,NM,"OGDEN, UT",70642,3/5/2010,10193,3758,CENTENNIAL BANK,212839,FAILURE,PO,DIF
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,10190,3/5/2010,2010,34976,SB,"GERMANTOWN, MD",11322,3/5/2010,10190,3759,WATERFIELD BANK,155566,FAILURE,DINB,DIF
Bank of Illinois,Normal,IL,9268,Heartland Bank and Trust Company,5-Mar-10,10191,3/5/2010,2010,9268,SM,"NORMAL, IL",18737,3/5/2010,10191,3756,BANK OF ILLINOIS,211711,FAILURE,PA,DIF
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,10192,3/5/2010,2010,27126,SM,"BOCA RATON, FL",122301,3/5/2010,10192,3757,SUN AMERICAN BANK,535724,FAILURE,PA,DIF
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,10189,2/26/2010,2010,38129,SI,"TACOMA, WA",2752,2/26/2010,10189,3754,RAINIER PACIFIC BANK,717806,FAILURE,PA,DIF
Carson River Community Bank,Carson City,NV,58352,Heritage Bank of Nevada,26-Feb-10,10188,2/26/2010,2010,58352,NM,"CARSON CITY, NV",14451,2/26/2010,10188,3755,CARSON RIVER COMMUNITY BANK,51095,FAILURE,PA,DIF
"La Jolla Bank, FSB",La Jolla,CA,32423,"OneWest Bank, FSB",19-Feb-10,10185,2/19/2010,2010,32423,SB,"LA JOLLA, CA",560147,2/19/2010,10185,3752,"LA JOLLA BANK, FSB",3646071,FAILURE,PA,DIF
George Washington Savings Bank,Orland Park,IL,29952,"FirstMerit Bank, N.A.",19-Feb-10,10184,2/19/2010,2010,29952,SI,"ORLAND PARK, IL",118852,2/19/2010,10184,3751,GEORGE WASHINGTON SAVINGS BANK,413673,FAILURE,PA,DIF
The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,10186,2/19/2010,2010,3287,N,"LA COSTE, TX",5709,2/19/2010,10186,3750,THE LA COSTE NATIONAL BANK,53936,FAILURE,PA,DIF
Marco Community Bank,Marco Island,FL,57586,Mutual of Omaha Bank,19-Feb-10,10187,2/19/2010,2010,57586,SM,"MARCO ISLAND, FL",25614,2/19/2010,10187,3753,MARCO COMMUNITY BANK,119578,FAILURE,PA,DIF
1st American State Bank of Minnesota,Hancock,MN,15448,"Community Development Bank, FSB",5-Feb-10,10183,2/5/2010,2010,15448,NM,"HANCOCK, MN",4521,2/5/2010,10183,3749,1ST AMERICAN STATE BANK OF MINNESOTA,18155,FAILURE,PA,DIF
American Marine Bank,Bainbridge Island,WA,16730,Columbia State Bank,29-Jan-10,10178,1/29/2010,2010,16730,NM,"BAINBRIDGE ISLAND, WA",28352,1/29/2010,10178,3747,AMERICAN MARINE BANK,329246,FAILURE,PA,DIF
First Regional Bank,Los Angeles,CA,23011,First-Citizens Bank & Trust Company,29-Jan-10,10177,1/29/2010,2010,23011,NM,"LOS ANGELES, CA",224134,1/29/2010,10177,3748,FIRST REGIONAL BANK,2082684,FAILURE,PA,DIF
Community Bank and Trust,Cornelia,GA,5702,SCBT National Association,29-Jan-10,10180,1/29/2010,2010,5702,NM,"CORNELIA, GA",477231,1/29/2010,10180,3744,COMMUNITY BANK & TRUST,1181717,FAILURE,PA,DIF
"Marshall Bank, N.A.",Hallock,MN,16133,United Valley Bank,29-Jan-10,10182,1/29/2010,2010,16133,N,"HALLOCK, MN",1063,1/29/2010,10182,3745,"MARSHALL BANK, NATIONAL ASSOCIATION",58566,FAILURE,PA,DIF
Florida Community Bank,Immokalee,FL,5672,"Premier American Bank, N.A.",29-Jan-10,10181,1/29/2010,2010,5672,NM,"IMMOKALEE, FL",308984,1/29/2010,10181,3743,FLORIDA COMMUNITY BANK,835701,FAILURE,PA,DIF
First National Bank of Georgia,Carrollton,GA,16480,Community & Southern Bank,29-Jan-10,10179,1/29/2010,2010,16480,N,"CARROLLTON, GA",203881,1/29/2010,10179,3746,FIRST NATIONAL BANK OF GEORGIA,840633,FAILURE,PA,DIF
Columbia River Bank,The Dalles,OR,22469,Columbia State Bank,22-Jan-10,10176,1/22/2010,2010,22469,NM,"THE DALLES, OR",54899,1/22/2010,10176,3740,COLUMBIA RIVER BANK,955112,FAILURE,PA,DIF
Evergreen Bank,Seattle,WA,20501,Umpqua Bank,22-Jan-10,10172,1/22/2010,2010,20501,NM,"SEATTLE, WA",43422,1/22/2010,10172,3739,EVERGREEN BANK,395980,FAILURE,PA,DIF
Charter Bank,Santa Fe,NM,32498,Charter Bank,22-Jan-10,10175,1/22/2010,2010,32498,SB,"SANTA FE, NM",127197,1/22/2010,10175,3741,CHARTER BANK,1201922,FAILURE,PA,DIF
Bank of Leeton,Leeton,MO,8265,"Sunflower Bank, N.A.",22-Jan-10,10174,1/22/2010,2010,8265,NM,"LEETON, MO",7092,1/22/2010,10174,3738,BANK OF LEETON,20128,FAILURE,PA,DIF
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,10173,1/22/2010,2010,57147,NM,"MIAMI, FL",84454,1/22/2010,10173,3742,PREMIER AMERICAN BANK,299225,FAILURE,PA,DIF
Barnes Banking Company,Kaysville,UT,1252,No Acquirer,15-Jan-10,10171,1/15/2010,2010,1252,SM,"KAYSVILLE, UT",107340,1/15/2010,10171,3735,BARNES BANKING COMPANY,709171,FAILURE,DINB,DIF
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,10169,1/15/2010,2010,17522,NM,"ST. STEPHEN, MN",7707,1/15/2010,10169,3736,ST. STEPHEN STATE BANK,22895,FAILURE,PA,DIF
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,10170,1/15/2010,2010,34705,NM,"ANTIOCH, IL",23289,1/15/2010,10170,3737,TOWN COMMUNITY BANK AND TRUST,70758,FAILURE,PA,DIF
Horizon Bank,Bellingham,WA,22977,Washington Federal Savings and Loan Association,8-Jan-10,10168,1/8/2010,2010,22977,NM,"BELLINGHAM, WA",205488,1/8/2010,10168,3734,HORIZON BANK,1188956,FAILURE,PA,DIF
"First Federal Bank of California, F.S.B.",Santa Monica,CA,28536,"OneWest Bank, FSB",18-Dec-09,10167,12/18/2009,2009,28536,SB,"SANTA MONICA, CA",0,12/18/2009,10167,3730,"FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",6143903,FAILURE,PA,DIF
