Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,Closing Date,Closing Year,CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,QBFASSET,RESTYPE,RESTYPE1,SAVR
Independent National Bank,Ocala,FL,27344,"CenterState Bank of Florida, N.A.",20-Aug-10,10281,8/20/2010,2010,27344,N,"OCALA, FL",11982,8/20/2010,10281,3848,INDEPENDENT NATIONAL BANK,156218,FAILURE,PA,DIF
Community National Bank at Bartow,Bartow,FL,25266,"CenterState Bank of Florida, N.A.",20-Aug-10,10279,8/20/2010,2010,25266,N,"BARTOW, FL",9170,8/20/2010,10279,3845,COMMUNITY NATIONAL BANK AT BARTOW,67918,FAILURE,PA,DIF
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,13-Aug-10,10277,8/13/2010,2010,17599,NM,"PALOS HEIGHTS, IL",66962,8/13/2010,10277,3843,PALOS BANK AND TRUST COMPANY,493391,FAILURE,PA,DIF
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,6-Aug-10,10276,8/6/2010,2010,34231,NM,"CHICAGO, IL",68199,8/6/2010,10276,3842,RAVENSWOOD BANK,264628,FAILURE,PA,DIF
LibertyBank,Eugene,OR,31964,Home Federal Bank,30-Jul-10,10273,7/30/2010,2010,31964,NM,"EUGENE, OR",51282,7/30/2010,10273,3839,LIBERTYBANK,714574,FAILURE,PA,DIF
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,30-Jul-10,10275,7/30/2010,2010,22643,NM,"LONGVIEW, WA",31524,7/30/2010,10275,3838,THE COWLITZ BANK,489019,FAILURE,PA,DIF
Coastal Community Bank,Panama City Beach,FL,9619,Centennial Bank,30-Jul-10,10272,7/30/2010,2010,9619,NM,"PANAMA CITY BEACH, FL",116866,7/30/2010,10272,3837,COASTAL COMMUNITY BANK,377469,FAILURE,PA,DIF
Bayside Savings Bank,Port Saint Joe,FL,57669,Centennial Bank,30-Jul-10,10271,7/30/2010,2010,57669,SB,"PORT SAINT JOE, FL",12479,7/30/2010,10271,3841,BAYSIDE SAVINGS BANK,64344,FAILURE,PA,DIF
Northwest Bank & Trust,Acworth,GA,57658,State Bank and Trust Company,30-Jul-10,10274,7/30/2010,2010,57658,NM,"ACWORTH, GA",33627,7/30/2010,10274,3840,NORTHWEST BANK & TRUST,160763,FAILURE,PA,DIF
Home Valley Bank,Cave Junction,OR,23181,South Valley Bank & Trust,23-Jul-10,10266,7/23/2010,2010,23181,SM,"CAVE JUNCTION, OR",28068,7/23/2010,10266,3832,HOME VALLEY BANK,250488,FAILURE,PA,DIF
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,23-Jul-10,10267,7/23/2010,2010,35434,NM,"LAS VEGAS, NV",86297,7/23/2010,10267,3836,SOUTHWESTUSA BANK,203690,FAILURE,PA,DIF
Community Security Bank,New Prague,MN,34486,Roundbank,23-Jul-10,10264,7/23/2010,2010,34486,NM,"NEW PRAGUE, MN",18495,7/23/2010,10264,3835,COMMUNITY SECURITY BANK,100649,FAILURE,PA,DIF
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,10269,7/23/2010,2010,10506,SM,"SYLVAN GROVE, KS",6651,7/23/2010,10269,3830,THUNDER BANK,28248,FAILURE,PA,DIF
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,10270,7/23/2010,2010,17837,N,"KINGSTREE, SC",2425,7/23/2010,10270,3831,WILLIAMSBURG FIRST NATIONAL BANK,130411,FAILURE,PA,DIF
Crescent Bank and Trust Company,Jasper,GA,27559,Renasant Bank,23-Jul-10,10265,7/23/2010,2010,27559,NM,"JASPER, GA",303824,7/23/2010,10265,3833,CRESCENT BANK AND TRUST COMPANY,970235,FAILURE,PA,DIF
Sterling Bank,Lantana,FL,32536,IBERIABANK,23-Jul-10,10268,7/23/2010,2010,32536,SM,"LANTANA, FL",41792,7/23/2010,10268,3834,STERLING BANK,354966,FAILURE,PA,DIF
"Mainstreet Savings Bank, FSB",Hastings,MI,28136,Commercial Bank,16-Jul-10,10258,7/16/2010,2010,28136,SB,"HASTINGS, MI",12789,7/16/2010,10258,3825,"MAINSTREET SAVINGS BANK, FSB",96584,FAILURE,PA,DIF
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,10260,7/16/2010,2010,28864,SB,"CLEWISTON, FL",25533,7/16/2010,10260,3826,OLDE CYPRESS COMMUNITY BANK,161355,FAILURE,PA,DIF
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,10261,7/16/2010,2010,32280,SB,"AVENTURA, FL",28658,7/16/2010,10261,3827,TURNBERRY BANK,240251,FAILURE,PA,DIF
Metro Bank of Dade County,Miami,FL,25172,NAFH National Bank,16-Jul-10,10259,7/16/2010,2010,25172,SM,"MIAMI, FL",64179,7/16/2010,10259,3824,METRO BANK OF DADE COUNTY,399441,FAILURE,PA,DIF
First National Bank of the South,Spartanburg,SC,35383,NAFH National Bank,16-Jul-10,10263,7/16/2010,2010,35383,N,"SPARTANBURG, SC",68274,7/16/2010,10263,3829,FIRST NATIONAL BANK OF THE SOUTH,619374,FAILURE,PA,DIF
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,10262,7/16/2010,2010,32571,SB,"BLUFFTON, SC",107349,7/16/2010,10262,3828,WOODLANDS BANK,382803,FAILURE,PA,DIF
Home National Bank,Blackwell,OK,11636,RCB Bank,9-Jul-10,10256,7/9/2010,2010,11636,N,"BLACKWELL, OK",65822,7/9/2010,10256,3820,HOME NATIONAL BANK,585445,FAILURE,PA,DIF
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,10254,7/9/2010,2010,58072,NM,"PORT CHESTER, NY",63537,7/9/2010,10254,3823,USA BANK,190678,FAILURE,PA,DIF
Ideal Federal Savings Bank,Baltimore,MD,32456,No Acquirer,9-Jul-10,10257,7/9/2010,2010,32456,SB,"BALTIMORE, MD",3694,7/9/2010,10257,3821,IDEAL FEDERAL SAVINGS BANK,6177,FAILURE,PO,DIF
Bay National Bank,Baltimore,MD,35462,"Bay Bank, FSB",9-Jul-10,10255,7/9/2010,2010,35462,N,"BALTIMORE, MD",21144,7/9/2010,10255,3822,BAY NATIONAL BANK,217743,FAILURE,PA,DIF
High Desert State Bank,Albuquerque,NM,35279,First American Bank,25-Jun-10,10252,6/25/2010,2010,35279,NM,"ALBUQUERQUE, NM",28392,6/25/2010,10252,3819,HIGH DESERT STATE BANK,80343,FAILURE,PA,DIF
First National Bank,Savannah,GA,34152,"The Savannah Bank, N.A.",25-Jun-10,10251,6/25/2010,2010,34152,N,"SAVANNAH, GA",78167,6/25/2010,10251,3818,FIRST NATIONAL BANK,252520,FAILURE,PA,DIF
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,10253,6/25/2010,2010,26563,NM,"ENGLEWOOD, FL",184045,6/25/2010,10253,3817,PENINSULA BANK,630179,FAILURE,PA,DIF
Nevada Security Bank,Reno,NV,57110,Umpqua Bank,18-Jun-10,10250,6/18/2010,2010,57110,NM,"RENO, NV",70039,6/18/2010,10250,3816,NEVADA SECURITY BANK,492491,FAILURE,PA,DIF
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,10249,6/11/2010,2010,32955,NM,"SEATTLE, WA",95151,6/11/2010,10249,3815,WASHINGTON FIRST INTERNATIONAL BANK,520887,FAILURE,PA,DIF
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,10248,6/4/2010,2010,29341,SB,"LINCOLN, NE",0,6/4/2010,10248,3813,TIERONE BANK,2824737,FAILURE,PA,DIF
Arcola Homestead Savings Bank,Arcola,IL,31813,No Acquirer,4-Jun-10,10246,6/4/2010,2010,31813,SI,"ARCOLA, IL",11534,6/4/2010,10246,3814,ARCOLA HOMESTEAD SAVINGS BANK,17028,FAILURE,PO,DIF
First National Bank,Rosedale,MS,15814,The Jefferson Bank,4-Jun-10,10247,6/4/2010,2010,15814,N,"ROSEDALE, MS",18085,6/4/2010,10247,3812,FIRST NATIONAL BANK,60449,FAILURE,PA,DIF
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,10245,5/28/2010,2010,34785,NM,"LAS VEGAS, NV",115960,5/28/2010,10245,3807,SUN WEST BANK,360662,FAILURE,PA,DIF
"Granite Community Bank, NA",Granite Bay,CA,57315,Tri Counties Bank,28-May-10,10244,5/28/2010,2010,57315,N,"GRANITE BAY, CA",13175,5/28/2010,10244,3809,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",102913,FAILURE,PA,DIF
Bank of Florida - Tampa,Tampa,FL,57814,EverBank,28-May-10,10243,5/28/2010,2010,57814,NM,"TAMPA BAY, FL",30582,5/28/2010,10243,3811,BANK OF FLORIDA - TAMPA BAY,240513,FAILURE,PA,DIF
Bank of Florida - Southwest,Naples,FL,35106,EverBank,28-May-10,10242,5/28/2010,2010,35106,NM,"NAPLES, FL",87638,5/28/2010,10242,3808,BANK OF FLORIDA - SOUTHWEST,640894,FAILURE,PA,DIF
Bank of Florida - Southeast,Fort Lauderdale,FL,57360,EverBank,28-May-10,10241,5/28/2010,2010,57360,NM,"FORT LAUDERDALE, FL",60470,5/28/2010,10241,3810,BANK OF FLORIDA - SOUTHEAST,595318,FAILURE,PA,DIF
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,10240,5/21/2010,2010,57735,NM,"ST. PAUL, MN",8410,5/21/2010,10240,3806,PINEHURST BANK,61215,FAILURE,PA,DIF
Midwest Bank and Trust Company,Elmwood Park,IL,18117,"FirstMerit Bank, N.A.",14-May-10,10236,5/14/2010,2010,18117,SM,"ELMWOOD PARK, IL",0,5/14/2010,10236,3802,MIDWEST BANK AND TRUST COMPANY,3172915,FAILURE,PA,DIF
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,10239,5/14/2010,2010,34255,NM,"SPRINGFIELD, MO",25580,5/14/2010,10239,3803,SOUTHWEST COMMUNITY BANK,100659,FAILURE,PA,DIF
New Liberty Bank,Plymouth,MI,35586,Bank of Ann Arbor,14-May-10,10237,5/14/2010,2010,35586,NM,"PLYMOUTH, MI",23558,5/14/2010,10237,3805,NEW LIBERTY BANK,111239,FAILURE,PA,DIF
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,10238,5/14/2010,2010,35114,NM,"SAINT MARYS, GA",36321,5/14/2010,10238,3804,SATILLA COMMUNITY BANK,135688,FAILURE,PA,DIF
1st Pacific Bank of California,San Diego,CA,35517,City National Bank,7-May-10,10232,5/7/2010,2010,35517,SM,"SAN DIEGO, CA",6342,5/7/2010,10232,3800,1st PACIFIC BANK OF CALIFORNIA,335798,FAILURE,PA,DIF
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,10235,5/7/2010,2010,57697,NM,"MESA, AZ",44322,5/7/2010,10235,3801,TOWNE BANK OF ARIZONA,120246,FAILURE,PA,DIF
Access Bank,Champlin,MN,16476,PrinsBank,7-May-10,10233,5/7/2010,2010,16476,NM,"CHAMPLIN, MN",7916,5/7/2010,10233,3799,ACCESS BANK,31996,FAILURE,PA,DIF
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,10234,5/7/2010,2010,14246,NM,"BONIFAY, FL",65887,5/7/2010,10234,3798,THE BANK OF BONIFAY,242871,FAILURE,PA,DIF
